department_name,description,imageUrl
frozen,"Convenient and delicious frozen meals, snacks, and ingredients.","https://images.pexels.com/photos/6823367/pexels-photo-6823367.jpeg"
produce,"Fresh fruits and vegetables, sourced to bring natural goodness to your table.","https://images.pexels.com/photos/2255935/pexels-photo-2255935.jpeg"
dairy eggs,"Essential dairy products and fresh eggs for your daily needs.","https://images.pexels.com/photos/8107997/pexels-photo-8107997.jpeg"
snacks,"A wide variety of snacks to satisfy your cravings, from salty to sweet.","https://images.pexels.com/photos/86649/pexels-photo-86649.jpeg"
beverages,"A wide selection of drinks, from refreshing juices to energizing coffees.","https://images.pexels.com/photos/31331971/pexels-photo-31331971.jpeg"
deli,"Freshly prepared deli meats, cheeses, and salads for quick and tasty meals.","https://images.pexels.com/photos/27609475/pexels-photo-27609475.jpeg"
pantry,"Staple items for your pantry, including grains, spices, and canned goods.","https://images.pexels.com/photos/3737644/pexels-photo-3737644.jpeg"
bakery,"Freshly baked breads, pastries, and cakes for every occasion.","https://images.pexels.com/photos/1387070/pexels-photo-1387070.jpeg"
meat seafood,"High-quality cuts of meat and fresh seafood for your main courses.","https://images.pexels.com/photos/2871757/pexels-photo-2871757.jpeg"
dry goods pasta,"A variety of pastas, grains, and other dry goods for wholesome meals.","https://images.pexels.com/photos/1487511/pexels-photo-1487511.jpeg"
international,"A selection of international foods and ingredients to explore global cuisines.","https://images.pexels.com/photos/2347311/pexels-photo-2347311.jpeg"
breakfast,"Everything you need to start your day, from cereals to breakfast bars.","https://images.pexels.com/photos/2612340/pexels-photo-2612340.jpeg"
canned goods,"A variety of canned fruits, vegetables, and meals for convenience and long-term storage.","https://images.pexels.com/photos/10658147/pexels-photo-10658147.jpeg"
personal care,"Personal hygiene products, including soaps, shampoos, and skincare items.","https://images.pexels.com/photos/286951/pexels-photo-286951.jpeg"
household,"Cleaning supplies and other household essentials to keep your home tidy.","https://images.pexels.com/photos/4239091/pexels-photo-4239091.jpeg"
babies,"Products for babies and toddlers, including diapers, food, and care items.","https://images.pexels.com/photos/18649618/pexels-photo-18649618.jpeg"
alcohol,"A selection of alcoholic beverages, including beers, wines, and spirits.","https://images.pexels.com/photos/1283219/pexels-photo-1283219.jpeg"
pets,"Food, treats, and supplies for your beloved pets.","https://images.pexels.com/photos/12928245/pexels-photo-12928245.jpeg"
missing,"Explore our other products.","https://images.pexels.com/photos/1111369/pexels-photo-1111369.jpeg"
other,"A variety of other items to meet your needs.","https://images.pexels.com/photos/1111369/pexels-photo-1111369.jpeg"
bulk,"Buy in bulk and save on your favorite items.","https://images.pexels.com/photos/1111369/pexels-photo-1111369.jpeg"
